timestamp_ms,event_count,source_id
0,20285,src-01
1000,20004,src-01
2000,20582,src-01
3000,20775,src-01
4000,21707,src-01
5000,21644,src-01
6000,21448,src-01
7000,21843,src-01
8000,21703,src-01
9000,21486,src-01
10000,21525,src-01
11000,21444,src-01
12000,20897,src-01
13000,20275,src-01
14000,20439,src-01
15000,19920,src-01
16000,19323,src-01
17000,19118,src-01
18000,18984,src-01
19000,18819,src-01
20000,18782,src-01
21000,18414,src-01
22000,18543,src-01
23000,18296,src-01
24000,18642,src-01
25000,18735,src-01
26000,18981,src-01
27000,19490,src-01
28000,19264,src-01
29000,19189,src-01
30000,19976,src-01
31000,20575,src-01
32000,20658,src-01
33000,21035,src-01
34000,20672,src-01
35000,21135,src-01
36000,21683,src-01
37000,21824,src-01
38000,21366,src-01
39000,21631,src-01
40000,21172,src-01
41000,20843,src-01
42000,20961,src-01
43000,20715,src-01
44000,20451,src-01
45000,20219,src-01
46000,20170,src-01
47000,19633,src-01
48000,18951,src-01
49000,19092,src-01
50000,18174,src-01
51000,18508,src-01
52000,18724,src-01
53000,18612,src-01
54000,18726,src-01
55000,19187,src-01
56000,18588,src-01
57000,19297,src-01
58000,19321,src-01
59000,20001,src-01
60000,20035,src-01
61000,20567,src-01
62000,21114,src-01
63000,21129,src-01
64000,21126,src-01
65000,21275,src-01
66000,21313,src-01
67000,21902,src-01
68000,21984,src-01
69000,21448,src-01
70000,20842,src-01
71000,20998,src-01
72000,21070,src-01
73000,20366,src-01
74000,19745,src-01
75000,19866,src-01
76000,19055,src-01
77000,19446,src-01
78000,18939,src-01
79000,18829,src-01
80000,19003,src-01
81000,18205,src-01
82000,17764,src-01
83000,18400,src-01
84000,18618,src-01
85000,18185,src-01
86000,18700,src-01
87000,18955,src-01
88000,19357,src-01
89000,19482,src-01
90000,20799,src-01
91000,20253,src-01
92000,20706,src-01
93000,20795,src-01
94000,20396,src-01
95000,21799,src-01
96000,20574,src-01
97000,21998,src-01
98000,21194,src-01
99000,21114,src-01
100000,21352,src-01
101000,21847,src-01
102000,21036,src-01
103000,20593,src-01
104000,20102,src-01
105000,20195,src-01
106000,19556,src-01
107000,19563,src-01
108000,18470,src-01
109000,18969,src-01
110000,18709,src-01
111000,18070,src-01
112000,18098,src-01
113000,18364,src-01
114000,18332,src-01
115000,18701,src-01
116000,18380,src-01
117000,18794,src-01
118000,19983,src-01
119000,19414,src-01
120000,19872,src-01
121000,20279,src-01
122000,20567,src-01
123000,21302,src-01
124000,21017,src-01
125000,21642,src-01
126000,21265,src-01
127000,21823,src-01
128000,21527,src-01
129000,21469,src-01
130000,21359,src-01
131000,21354,src-01
132000,20582,src-01
133000,20359,src-01
134000,20943,src-01
135000,20151,src-01
136000,19559,src-01
137000,19541,src-01
138000,19041,src-01
139000,18135,src-01
140000,18662,src-01
141000,18441,src-01
142000,18513,src-01
143000,18176,src-01
144000,18412,src-01
145000,18956,src-01
146000,18765,src-01
147000,18930,src-01
148000,19458,src-01
149000,19549,src-01
150000,20320,src-01
151000,20280,src-01
152000,20759,src-01
153000,20729,src-01
154000,20814,src-01
155000,21601,src-01
156000,21600,src-01
157000,21782,src-01
158000,21812,src-01
159000,21080,src-01
160000,21421,src-01
161000,20587,src-01
162000,21096,src-01
163000,20325,src-01
164000,20472,src-01
165000,20217,src-01
166000,19505,src-01
167000,19342,src-01
168000,19426,src-01
169000,18314,src-01
170000,18807,src-01
171000,18513,src-01
172000,18693,src-01
173000,17913,src-01
174000,18479,src-01
175000,18945,src-01
176000,19218,src-01
177000,18828,src-01
178000,19265,src-01
179000,20219,src-01
180000,19574,src-01
181000,20318,src-01
182000,20704,src-01
183000,20992,src-01
184000,20908,src-01
185000,21674,src-01
186000,21788,src-01
187000,22136,src-01
188000,21353,src-01
189000,21377,src-01
190000,21714,src-01
191000,21733,src-01
192000,20937,src-01
193000,20192,src-01
194000,20267,src-01
195000,20289,src-01
196000,19870,src-01
197000,19683,src-01
198000,19637,src-01
199000,18681,src-01
200000,18343,src-01
201000,18117,src-01
202000,18371,src-01
203000,18714,src-01
204000,18996,src-01
205000,18679,src-01
206000,18815,src-01
207000,19019,src-01
208000,19717,src-01
209000,19438,src-01
210000,19968,src-01
211000,20309,src-01
212000,20642,src-01
213000,21482,src-01
214000,20921,src-01
215000,22122,src-01
216000,21325,src-01
217000,21345,src-01
218000,21392,src-01
219000,21716,src-01
220000,21381,src-01
221000,21525,src-01
222000,20693,src-01
223000,20148,src-01
224000,20221,src-01
225000,20083,src-01
226000,19226,src-01
227000,19317,src-01
228000,19220,src-01
229000,18568,src-01
230000,18367,src-01
231000,18149,src-01
232000,18365,src-01
233000,18545,src-01
234000,19302,src-01
235000,18963,src-01
236000,18432,src-01
237000,18598,src-01
238000,19316,src-01
239000,20138,src-01
240000,20197,src-01
241000,20174,src-01
242000,20951,src-01
243000,21353,src-01
244000,21627,src-01
245000,21065,src-01
246000,21652,src-01
247000,21206,src-01
248000,21349,src-01
249000,21138,src-01
250000,21307,src-01
251000,20758,src-01
252000,21172,src-01
253000,20647,src-01
254000,20073,src-01
255000,20145,src-01
256000,20126,src-01
257000,19452,src-01
258000,18884,src-01
259000,18725,src-01
260000,18583,src-01
261000,18267,src-01
262000,17895,src-01
263000,18295,src-01
264000,18851,src-01
265000,18366,src-01
266000,18231,src-01
267000,19032,src-01
268000,19680,src-01
269000,19150,src-01
270000,20057,src-01
271000,20456,src-01
272000,20811,src-01
273000,21107,src-01
274000,21371,src-01
275000,20910,src-01
276000,21706,src-01
277000,22004,src-01
278000,21524,src-01
279000,21633,src-01
280000,21081,src-01
281000,21579,src-01
282000,20754,src-01
283000,21145,src-01
284000,20218,src-01
285000,20203,src-01
286000,19507,src-01
287000,19912,src-01
288000,18467,src-01
289000,18921,src-01
290000,17990,src-01
291000,18116,src-01
292000,18976,src-01
293000,18681,src-01
294000,17875,src-01
295000,18612,src-01
296000,18625,src-01
297000,19230,src-01
298000,19904,src-01
299000,19863,src-01
300000,20130,src-01
301000,20485,src-01
302000,20323,src-01
303000,21150,src-01
304000,21465,src-01
305000,21201,src-01
306000,21328,src-01
307000,22026,src-01
308000,21653,src-01
309000,21180,src-01
310000,21258,src-01
311000,21051,src-01
312000,20921,src-01
313000,20628,src-01
314000,20257,src-01
315000,20502,src-01
316000,19917,src-01
317000,19794,src-01
318000,18551,src-01
319000,18844,src-01
320000,18966,src-01
321000,18695,src-01
322000,18204,src-01
323000,18181,src-01
324000,18766,src-01
325000,18550,src-01
326000,19005,src-01
327000,19106,src-01
328000,19313,src-01
329000,19703,src-01
330000,19751,src-01
331000,20843,src-01
332000,20815,src-01
333000,21360,src-01
334000,21030,src-01
335000,21223,src-01
336000,21425,src-01
337000,21332,src-01
